DateLake,LakeLevel_m,Flow_L_s
27/03/2012 0:00,343.509,58868
28/03/2012 0:00,343.478,58958
29/03/2012 0:00,343.463,58962
30/03/2012 0:00,343.443,58920
31/03/2012 0:00,343.421,58981
1/04/2012 0:00,343.397,59107
2/04/2012 0:00,343.37,70569
3/04/2012 0:00,343.334,78584
4/04/2012 0:00,343.297,78343
5/04/2012 0:00,343.26,57195
6/04/2012 0:00,343.244,32092
7/04/2012 0:00,343.236,31981
8/04/2012 0:00,343.233,31943
9/04/2012 0:00,343.218,38658
10/04/2012 0:00,343.216,68310
11/04/2012 0:00,343.179,98584
12/04/2012 0:00,343.133,108987
13/04/2012 0:00,343.089,87785
14/04/2012 0:00,343.04,87561
15/04/2012 0:00,342.995,87384
16/04/2012 0:00,342.951,87183
17/04/2012 0:00,342.901,87027
18/04/2012 0:00,342.857,86833
19/04/2012 0:00,342.812,76347
20/04/2012 0:00,342.779,67931
21/04/2012 0:00,342.72,153907
22/04/2012 0:00,342.635,160929
23/04/2012 0:00,342.557,122793
24/04/2012 0:00,342.5,76497
25/04/2012 0:00,342.457,76235
26/04/2012 0:00,342.409,76081
27/04/2012 0:00,342.371,76026
28/04/2012 0:00,342.357,52266
29/04/2012 0:00,342.331,118741
30/04/2012 0:00,342.299,93395
1/05/2012 0:00,342.26,69134
2/05/2012 0:00,342.227,87258
3/05/2012 0:00,342.171,150258
4/05/2012 0:00,342.076,195803
5/05/2012 0:00,341.976,163500
6/05/2012 0:00,341.906,103557
7/05/2012 0:00,341.859,87387
8/05/2012 0:00,341.811,76304
9/05/2012 0:00,341.78,47579
10/05/2012 0:00,341.774,47467
11/05/2012 0:00,341.764,47409
12/05/2012 0:00,341.751,71223
13/05/2012 0:00,341.719,85327
14/05/2012 0:00,341.7,55830
15/05/2012 0:00,341.699,47582
16/05/2012 0:00,341.687,47522
17/05/2012 0:00,341.676,51612
18/05/2012 0:00,341.645,63952
19/05/2012 0:00,341.616,63802
20/05/2012 0:00,341.584,58789
21/05/2012 0:00,341.561,46717
22/05/2012 0:00,341.539,47529
23/05/2012 0:00,341.521,56586
24/05/2012 0:00,341.497,74844
25/05/2012 0:00,341.445,98106
26/05/2012 0:00,341.403,97974
27/05/2012 0:00,341.444,81458
28/05/2012 0:00,341.546,39583
29/05/2012 0:00,341.566,31341
30/05/2012 0:00,341.582,35026
31/05/2012 0:00,341.578,47685
1/06/2012 0:00,341.569,41761
2/06/2012 0:00,341.568,31290
3/06/2012 0:00,341.572,31269
4/06/2012 0:00,341.573,31256
5/06/2012 0:00,341.569,51437
6/06/2012 0:00,341.527,98162
7/06/2012 0:00,341.488,98407
8/06/2012 0:00,341.457,98201
9/06/2012 0:00,341.403,88069
10/06/2012 0:00,341.373,65901
11/06/2012 0:00,341.336,65765
12/06/2012 0:00,341.303,72996
13/06/2012 0:00,341.265,98537
14/06/2012 0:00,341.204,112656
15/06/2012 0:00,341.146,106302
16/06/2012 0:00,341.086,134724
17/06/2012 0:00,341.007,149864
18/06/2012 0:00,340.931,144555
19/06/2012 0:00,340.867,109343
20/06/2012 0:00,340.809,118851
21/06/2012 0:00,340.74,156926
22/06/2012 0:00,340.653,151958
23/06/2012 0:00,340.674,68276
24/06/2012 0:00,340.801,43563
25/06/2012 0:00,340.824,101719
26/06/2012 0:00,340.792,149415
27/06/2012 0:00,340.728,169875
28/06/2012 0:00,340.638,190610
29/06/2012 0:00,340.549,189041
30/06/2012 0:00,340.46,159647
1/07/2012 0:00,340.4,98760
2/07/2012 0:00,340.354,98344
3/07/2012 0:00,340.304,98102
4/07/2012 0:00,340.255,97910
5/07/2012 0:00,340.203,97782
6/07/2012 0:00,340.153,88468
7/07/2012 0:00,340.117,66258
8/07/2012 0:00,340.084,66039
9/07/2012 0:00,340.052,71715
10/07/2012 0:00,340.007,98609
11/07/2012 0:00,339.954,98354
12/07/2012 0:00,339.9,151081
13/07/2012 0:00,339.823,170299
14/07/2012 0:00,339.904,78370
15/07/2012 0:00,339.996,51870
16/07/2012 0:00,340.09,39309
17/07/2012 0:00,340.135,31053
18/07/2012 0:00,340.171,22463
19/07/2012 0:00,340.193,32472
20/07/2012 0:00,340.197,47935
21/07/2012 0:00,340.192,64350
22/07/2012 0:00,340.172,70775
23/07/2012 0:00,340.148,81153
24/07/2012 0:00,340.108,98861
25/07/2012 0:00,340.062,98716
26/07/2012 0:00,340.018,98553
27/07/2012 0:00,339.971,98453
28/07/2012 0:00,339.925,98264
29/07/2012 0:00,339.878,98057
30/07/2012 0:00,339.824,122721
31/07/2012 0:00,339.761,149853
1/08/2012 0:00,339.699,160635
2/08/2012 0:00,339.617,194026
3/08/2012 0:00,339.523,168764
4/08/2012 0:00,339.458,109807
5/08/2012 0:00,339.406,109836
6/08/2012 0:00,339.341,183594
7/08/2012 0:00,339.256,160538
8/08/2012 0:00,339.171,159911
9/08/2012 0:00,339.092,146144
10/08/2012 0:00,339.027,94423
11/08/2012 0:00,339.004,31696
12/08/2012 0:00,338.998,32159
13/08/2012 0:00,338.983,87792
14/08/2012 0:00,338.94,88621
15/08/2012 0:00,338.895,88469
16/08/2012 0:00,338.85,88378
17/08/2012 0:00,338.805,75463
18/08/2012 0:00,338.783,31407
19/08/2012 0:00,338.777,34558
20/08/2012 0:00,338.755,88355
21/08/2012 0:00,338.707,83512
22/08/2012 0:00,338.669,66040
23/08/2012 0:00,338.636,65858
24/08/2012 0:00,338.605,59776
25/08/2012 0:00,338.588,48278
26/08/2012 0:00,338.594,54392
27/08/2012 0:00,338.591,64711
28/08/2012 0:00,338.571,64668
29/08/2012 0:00,338.547,63538
30/08/2012 0:00,338.522,65780
31/08/2012 0:00,338.499,55465
1/09/2012 0:00,338.492,31108
2/09/2012 0:00,338.57,31138
3/09/2012 0:00,338.746,16758
4/09/2012 0:00,338.835,17464
5/09/2012 0:00,338.883,37895
6/09/2012 0:00,338.911,38031
7/09/2012 0:00,339.036,25366
8/09/2012 0:00,339.217,14438
9/09/2012 0:00,339.39,14388
10/09/2012 0:00,339.477,14256
11/09/2012 0:00,339.531,14233
12/09/2012 0:00,339.577,14195
13/09/2012 0:00,339.621,14180
14/09/2012 0:00,339.657,14182
15/09/2012 0:00,339.71,14226
16/09/2012 0:00,339.78,14258
17/09/2012 0:00,339.827,14254
18/09/2012 0:00,339.866,14176
19/09/2012 0:00,339.897,14192
20/09/2012 0:00,339.923,14228
21/09/2012 0:00,339.95,14228
22/09/2012 0:00,339.972,14250
23/09/2012 0:00,339.993,14263
24/09/2012 0:00,340.014,14281
25/09/2012 0:00,340.041,14318
26/09/2012 0:00,340.128,14381
27/09/2012 0:00,340.209,14408
28/09/2012 0:00,340.253,13730
29/09/2012 0:00,340.292,12930
30/09/2012 0:00,340.328,12936
1/10/2012 0:00,340.381,3795
2/10/2012 0:00,340.434,3258
3/10/2012 0:00,340.481,3175
4/10/2012 0:00,340.513,4949
5/10/2012 0:00,340.567,5627
6/10/2012 0:00,340.622,11447
7/10/2012 0:00,340.661,11487
8/10/2012 0:00,340.689,3974
9/10/2012 0:00,340.723,3462
10/10/2012 0:00,340.767,3417
11/10/2012 0:00,340.804,3371
12/10/2012 0:00,340.84,4421
13/10/2012 0:00,340.958,11003
14/10/2012 0:00,341.076,11019
15/10/2012 0:00,341.136,4275
16/10/2012 0:00,341.192,3389
17/10/2012 0:00,341.24,3366
18/10/2012 0:00,341.316,3379
19/10/2012 0:00,341.379,4000
20/10/2012 0:00,341.434,10924
21/10/2012 0:00,341.496,10968
22/10/2012 0:00,341.546,9389
23/10/2012 0:00,341.593,3386
24/10/2012 0:00,341.644,3383
25/10/2012 0:00,341.696,3130
26/10/2012 0:00,341.743,3084
27/10/2012 0:00,341.788,5694
28/10/2012 0:00,341.862,9444
29/10/2012 0:00,341.916,3807
30/10/2012 0:00,341.968,3827
31/10/2012 0:00,342.021,3920
1/11/2012 0:00,342.075,3829
2/11/2012 0:00,342.153,5786
3/11/2012 0:00,342.242,12234
4/11/2012 0:00,342.314,10232
5/11/2012 0:00,342.353,3882
6/11/2012 0:00,342.388,3696
7/11/2012 0:00,342.424,3530
8/11/2012 0:00,342.46,3461
9/11/2012 0:00,342.496,5942
10/11/2012 0:00,342.528,11057
11/11/2012 0:00,342.568,9314
12/11/2012 0:00,342.609,3703
13/11/2012 0:00,342.651,3640
14/11/2012 0:00,342.682,3615
15/11/2012 0:00,342.707,3785
16/11/2012 0:00,342.741,7078
17/11/2012 0:00,342.782,13323
18/11/2012 0:00,342.829,11133
19/11/2012 0:00,342.865,4040
20/11/2012 0:00,342.893,3641
21/11/2012 0:00,342.918,3744
22/11/2012 0:00,342.955,3786
23/11/2012 0:00,342.991,6006
24/11/2012 0:00,343.011,10752
25/11/2012 0:00,343.049,10557
26/11/2012 0:00,343.073,4030
27/11/2012 0:00,343.108,3312
28/11/2012 0:00,343.141,3884
29/11/2012 0:00,343.15,18442
30/11/2012 0:00,343.164,5632
1/12/2012 0:00,343.197,11719
2/12/2012 0:00,343.233,10937
3/12/2012 0:00,343.262,4399
4/12/2012 0:00,343.294,4030
5/12/2012 0:00,343.373,3632
6/12/2012 0:00,343.47,3559
7/12/2012 0:00,343.522,23563
8/12/2012 0:00,343.563,43362
9/12/2012 0:00,343.573,47169
10/12/2012 0:00,343.596,57881
11/12/2012 0:00,343.592,36806
12/12/2012 0:00,343.608,15077
13/12/2012 0:00,343.636,13745
14/12/2012 0:00,343.683,11943
15/12/2012 0:00,343.698,11937
16/12/2012 0:00,343.725,11953
17/12/2012 0:00,343.759,11960
18/12/2012 0:00,343.789,14732
19/12/2012 0:00,343.83,19992
20/12/2012 0:00,343.855,11931
21/12/2012 0:00,343.883,11927
22/12/2012 0:00,343.905,11939
23/12/2012 0:00,343.926,11943
24/12/2012 0:00,343.948,11946
25/12/2012 0:00,343.978,11951
26/12/2012 0:00,343.997,11981
27/12/2012 0:00,344.015,11970
28/12/2012 0:00,344.041,11967
29/12/2012 0:00,344.065,27420
30/12/2012 0:00,344.127,54848
31/12/2012 0:00,344.182,79924
1/01/2013 0:00,344.262,112208
2/01/2013 0:00,344.539,113081
3/01/2013 0:00,344.768,129954
4/01/2013 0:00,344.813,124006
5/01/2013 0:00,344.823,123924
6/01/2013 0:00,344.818,123876
7/01/2013 0:00,344.81,123499
8/01/2013 0:00,344.787,122895
9/01/2013 0:00,344.819,122265
10/01/2013 0:00,345.162,65627
11/01/2013 0:00,345.34,36579
12/01/2013 0:00,345.417,73211
13/01/2013 0:00,345.469,81034
14/01/2013 0:00,345.527,73718
15/01/2013 0:00,345.542,69334
16/01/2013 0:00,345.566,63856
17/01/2013 0:00,345.582,61597
18/01/2013 0:00,345.597,58309
19/01/2013 0:00,345.619,58151
20/01/2013 0:00,345.624,55121
21/01/2013 0:00,345.61,52295
22/01/2013 0:00,345.619,43748
23/01/2013 0:00,345.634,44029
24/01/2013 0:00,345.629,14566
25/01/2013 0:00,345.652,14417
26/01/2013 0:00,345.669,14421
27/01/2013 0:00,345.687,14417
28/01/2013 0:00,345.706,14387
29/01/2013 0:00,345.723,14431
30/01/2013 0:00,345.74,14409
31/01/2013 0:00,345.754,14429
1/02/2013 0:00,345.76,23892
2/02/2013 0:00,345.762,35377
3/02/2013 0:00,345.763,35380
4/02/2013 0:00,345.81,49851
5/02/2013 0:00,345.875,64924
6/02/2013 0:00,345.878,64880
7/02/2013 0:00,345.873,65716
8/02/2013 0:00,345.864,57810
9/02/2013 0:00,345.856,42872
10/02/2013 0:00,345.855,42492
11/02/2013 0:00,345.859,42181
12/02/2013 0:00,345.857,33551
13/02/2013 0:00,345.862,14896
14/02/2013 0:00,345.872,14820
15/02/2013 0:00,345.864,14827
16/02/2013 0:00,345.867,14823
17/02/2013 0:00,345.868,30477
18/02/2013 0:00,345.858,65475
19/02/2013 0:00,345.849,21321
20/02/2013 0:00,345.853,52712
21/02/2013 0:00,345.799,145331
22/02/2013 0:00,345.73,144654
23/02/2013 0:00,345.661,143676
24/02/2013 0:00,345.596,142927
25/02/2013 0:00,345.528,142285
26/02/2013 0:00,345.457,143766
27/02/2013 0:00,345.391,142031
28/02/2013 0:00,345.323,141538
1/03/2013 0:00,345.253,119874
2/03/2013 0:00,345.201,110661
3/03/2013 0:00,345.145,109915
4/03/2013 0:00,345.086,144321
5/03/2013 0:00,345.002,184871
6/03/2013 0:00,344.912,183513
7/03/2013 0:00,344.807,182392
8/03/2013 0:00,344.706,143995
9/03/2013 0:00,344.663,72511
10/03/2013 0:00,344.627,104383
11/03/2013 0:00,344.548,182905
12/03/2013 0:00,344.458,182242
13/03/2013 0:00,344.362,181535
14/03/2013 0:00,344.272,162382
15/03/2013 0:00,344.212,67076
16/03/2013 0:00,344.162,150853
17/03/2013 0:00,344.099,150450
18/03/2013 0:00,344.044,163986
19/03/2013 0:00,343.961,185953
20/03/2013 0:00,343.869,184733
21/03/2013 0:00,343.772,183992
22/03/2013 0:00,343.678,183253
23/03/2013 0:00,343.584,182617
24/03/2013 0:00,343.485,182063
25/03/2013 0:00,343.401,134415
26/03/2013 0:00,343.392,64784
27/03/2013 0:00,343.373,47917
28/03/2013 0:00,343.363,30342
29/03/2013 0:00,343.368,30008
30/03/2013 0:00,343.355,29919
31/03/2013 0:00,343.35,29848
1/04/2013 0:00,343.358,40679
2/04/2013 0:00,343.344,58258
3/04/2013 0:00,343.323,58007
4/04/2013 0:00,343.296,84046
5/04/2013 0:00,343.243,130491
6/04/2013 0:00,343.166,150934
7/04/2013 0:00,343.107,101977
8/04/2013 0:00,343.057,101447
9/04/2013 0:00,343.002,85267
10/04/2013 0:00,342.973,69540
11/04/2013 0:00,342.942,88813
12/04/2013 0:00,342.897,82026
13/04/2013 0:00,342.872,63872
14/04/2013 0:00,342.855,65794
15/04/2013 0:00,342.817,88640
16/04/2013 0:00,342.767,98401
17/04/2013 0:00,342.711,109581
18/04/2013 0:00,342.657,105736
19/04/2013 0:00,342.6,93978
20/04/2013 0:00,342.554,60128
21/04/2013 0:00,342.539,68809
22/04/2013 0:00,342.503,88445
23/04/2013 0:00,342.461,76185
24/04/2013 0:00,342.434,88002
25/04/2013 0:00,342.385,106221
26/04/2013 0:00,342.342,80482
27/04/2013 0:00,342.324,88998
28/04/2013 0:00,342.291,112449
29/04/2013 0:00,342.283,112559
30/04/2013 0:00,342.271,112568
1/05/2013 0:00,342.234,97218
2/05/2013 0:00,342.207,62832
3/05/2013 0:00,342.221,40976
4/05/2013 0:00,342.223,51821
5/05/2013 0:00,342.291,51766
6/05/2013 0:00,342.35,61552
7/05/2013 0:00,342.353,95818
8/05/2013 0:00,342.317,121595
9/05/2013 0:00,342.277,121346
10/05/2013 0:00,342.242,96817
11/05/2013 0:00,342.236,42619
12/05/2013 0:00,342.235,54370
13/05/2013 0:00,342.221,103726
14/05/2013 0:00,342.183,117352
15/05/2013 0:00,342.129,116796
16/05/2013 0:00,342.081,116209
17/05/2013 0:00,342.04,83385
18/05/2013 0:00,342.022,59071
19/05/2013 0:00,342.006,69265
20/05/2013 0:00,341.969,114800
21/05/2013 0:00,341.917,115572
22/05/2013 0:00,341.864,117114
23/05/2013 0:00,341.81,116534
24/05/2013 0:00,341.76,99079
25/05/2013 0:00,341.743,59840
26/05/2013 0:00,341.739,73293
27/05/2013 0:00,341.71,116675
28/05/2013 0:00,341.657,130731
29/05/2013 0:00,341.594,139745
30/05/2013 0:00,341.528,139211
31/05/2013 0:00,341.471,138776
1/06/2013 0:00,341.423,85882
2/06/2013 0:00,341.524,12782
3/06/2013 0:00,341.868,12800
4/06/2013 0:00,342.042,12582
5/06/2013 0:00,342.111,12461
6/06/2013 0:00,342.155,12452
7/06/2013 0:00,342.192,12390
8/06/2013 0:00,342.224,12383
9/06/2013 0:00,342.245,12363
10/06/2013 0:00,342.268,17944
11/06/2013 0:00,342.274,62892
12/06/2013 0:00,342.255,106619
13/06/2013 0:00,342.207,127466
14/06/2013 0:00,342.156,127202
15/06/2013 0:00,342.103,126862
16/06/2013 0:00,342.065,89853
17/06/2013 0:00,342.068,26089
18/06/2013 0:00,342.099,12485
19/06/2013 0:00,342.122,16201
20/06/2013 0:00,342.145,55275
21/06/2013 0:00,342.134,83714
22/06/2013 0:00,342.104,126464
23/06/2013 0:00,342.042,157692
24/06/2013 0:00,341.961,184494
25/06/2013 0:00,341.868,193736
26/06/2013 0:00,341.773,192590
27/06/2013 0:00,341.677,191800
28/06/2013 0:00,341.581,191161
29/06/2013 0:00,341.486,189961
30/06/2013 0:00,341.395,188887
1/07/2013 0:00,341.307,172486
2/07/2013 0:00,341.288,76046
3/07/2013 0:00,341.481,13302
4/07/2013 0:00,341.639,12842
5/07/2013 0:00,341.733,12635
6/07/2013 0:00,341.987,12850
7/07/2013 0:00,342.18,12824
8/07/2013 0:00,342.275,12644
9/07/2013 0:00,342.339,12580
10/07/2013 0:00,342.387,12534
11/07/2013 0:00,342.427,12497
12/07/2013 0:00,342.46,12482
13/07/2013 0:00,342.489,12479
14/07/2013 0:00,342.511,12492
15/07/2013 0:00,342.535,12480
16/07/2013 0:00,342.558,12481
17/07/2013 0:00,342.585,12493
18/07/2013 0:00,342.602,30963
19/07/2013 0:00,342.619,54806
20/07/2013 0:00,342.63,54671
21/07/2013 0:00,342.638,41495
22/07/2013 0:00,342.656,22881
23/07/2013 0:00,342.679,44567
24/07/2013 0:00,342.678,99775
25/07/2013 0:00,342.65,110494
26/07/2013 0:00,342.611,110227
27/07/2013 0:00,342.563,110099
28/07/2013 0:00,342.524,95823
29/07/2013 0:00,342.486,117331
30/07/2013 0:00,342.416,187850
31/07/2013 0:00,342.331,152357
1/08/2013 0:00,342.295,50888
2/08/2013 0:00,342.276,76221
3/08/2013 0:00,342.251,75942
4/08/2013 0:00,342.219,135063
5/08/2013 0:00,342.14,188046
6/08/2013 0:00,342.049,192109
7/08/2013 0:00,341.961,180491
8/08/2013 0:00,341.901,160910
9/08/2013 0:00,341.83,160205
10/08/2013 0:00,341.763,159731
11/08/2013 0:00,341.693,159370
12/08/2013 0:00,341.625,177474
13/08/2013 0:00,341.535,193517
14/08/2013 0:00,341.448,194077
15/08/2013 0:00,341.352,192807
16/08/2013 0:00,341.271,177776
17/08/2013 0:00,341.206,153066
18/08/2013 0:00,341.149,143559
19/08/2013 0:00,341.08,161997
20/08/2013 0:00,341.007,177554
21/08/2013 0:00,340.916,193984
22/08/2013 0:00,340.827,196572
23/08/2013 0:00,340.74,196407
24/08/2013 0:00,340.651,195056
25/08/2013 0:00,340.556,193709
26/08/2013 0:00,340.464,195621
27/08/2013 0:00,340.368,195500
28/08/2013 0:00,340.271,193978
29/08/2013 0:00,340.186,192230
30/08/2013 0:00,340.094,178986
31/08/2013 0:00,340.022,113554
1/09/2013 0:00,339.991,59186
2/09/2013 0:00,339.975,58760
3/09/2013 0:00,339.959,58615
4/09/2013 0:00,339.938,58607
5/09/2013 0:00,339.921,90096
6/09/2013 0:00,339.868,143993
7/09/2013 0:00,339.796,125744
8/09/2013 0:00,339.758,79870
9/09/2013 0:00,339.744,58983
10/09/2013 0:00,339.752,54256
11/09/2013 0:00,339.97,23042
12/09/2013 0:00,340.118,12014
13/09/2013 0:00,340.184,11919
14/09/2013 0:00,340.222,11874
15/09/2013 0:00,340.252,11861
16/09/2013 0:00,340.283,11836
17/09/2013 0:00,340.304,11793
18/09/2013 0:00,340.328,11687
19/09/2013 0:00,340.347,11668
20/09/2013 0:00,340.372,11664
21/09/2013 0:00,340.424,11665
22/09/2013 0:00,340.471,11656
23/09/2013 0:00,340.503,11662
24/09/2013 0:00,340.531,11658
25/09/2013 0:00,340.555,11660
26/09/2013 0:00,340.581,11658
27/09/2013 0:00,340.612,11591
28/09/2013 0:00,340.652,11352
29/09/2013 0:00,340.691,11345
30/09/2013 0:00,340.722,11344
1/10/2013 0:00,340.759,11355
2/10/2013 0:00,340.785,11432
3/10/2013 0:00,340.832,11430
4/10/2013 0:00,340.881,42027
5/10/2013 0:00,340.917,47198
6/10/2013 0:00,340.991,34920
7/10/2013 0:00,341.049,11350
8/10/2013 0:00,341.089,11387
9/10/2013 0:00,341.125,11361
10/10/2013 0:00,341.164,11328
11/10/2013 0:00,341.187,11301
12/10/2013 0:00,341.208,11288
13/10/2013 0:00,341.236,11287
14/10/2013 0:00,341.362,11294
15/10/2013 0:00,341.568,11183
16/10/2013 0:00,341.635,11189
17/10/2013 0:00,341.692,11207
18/10/2013 0:00,341.819,11485
19/10/2013 0:00,341.985,11569
20/10/2013 0:00,342.049,11575
21/10/2013 0:00,342.113,11857
22/10/2013 0:00,342.282,12362
23/10/2013 0:00,342.403,12269
24/10/2013 0:00,342.579,12361
25/10/2013 0:00,342.779,12374
26/10/2013 0:00,342.906,12497
27/10/2013 0:00,343.037,12528
28/10/2013 0:00,343.113,12483
29/10/2013 0:00,343.181,12456
30/10/2013 0:00,343.239,12450
31/10/2013 0:00,343.289,12331
1/11/2013 0:00,343.33,11863
2/11/2013 0:00,343.371,28986
3/11/2013 0:00,343.396,30961
4/11/2013 0:00,343.424,11978
5/11/2013 0:00,343.449,12170
6/11/2013 0:00,343.477,12415
7/11/2013 0:00,343.51,13646
8/11/2013 0:00,343.538,11655
9/11/2013 0:00,343.573,13621
10/11/2013 0:00,343.618,13603
11/11/2013 0:00,343.639,13702
12/11/2013 0:00,343.672,13679
13/11/2013 0:00,343.705,13574
14/11/2013 0:00,343.732,13495
15/11/2013 0:00,343.765,13506
16/11/2013 0:00,343.801,13530
17/11/2013 0:00,343.82,13546
18/11/2013 0:00,343.845,13578
19/11/2013 0:00,343.868,13563
20/11/2013 0:00,343.899,13574
21/11/2013 0:00,343.924,13613
22/11/2013 0:00,343.947,13634
23/11/2013 0:00,343.971,13616
24/11/2013 0:00,344.004,13647
25/11/2013 0:00,344.011,35982
26/11/2013 0:00,344.025,40778
27/11/2013 0:00,344.041,27853
28/11/2013 0:00,344.059,13270
29/11/2013 0:00,344.099,13214
30/11/2013 0:00,344.198,13197
1/12/2013 0:00,344.24,13197
2/12/2013 0:00,344.252,28963
3/12/2013 0:00,344.261,45496
4/12/2013 0:00,344.264,44895
5/12/2013 0:00,344.268,61050
6/12/2013 0:00,344.268,51241
7/12/2013 0:00,344.294,33928
8/12/2013 0:00,344.32,33196
9/12/2013 0:00,344.349,32684
10/12/2013 0:00,344.37,46647
11/12/2013 0:00,344.373,59165
12/12/2013 0:00,344.361,52998
13/12/2013 0:00,344.37,38828
14/12/2013 0:00,344.382,38186
15/12/2013 0:00,344.392,37877
16/12/2013 0:00,344.432,36175
17/12/2013 0:00,344.45,35870
18/12/2013 0:00,344.475,35335
19/12/2013 0:00,344.463,47617
20/12/2013 0:00,344.467,47683
21/12/2013 0:00,344.48,46415
22/12/2013 0:00,344.478,40996
23/12/2013 0:00,344.491,13745
24/12/2013 0:00,344.524,13642
25/12/2013 0:00,344.582,13661
26/12/2013 0:00,344.608,13744
27/12/2013 0:00,344.633,35529
28/12/2013 0:00,344.642,34952
29/12/2013 0:00,344.651,34531
30/12/2013 0:00,344.679,35103
31/12/2013 0:00,344.711,34827
1/01/2014 0:00,344.708,35289
2/01/2014 0:00,344.743,35733
3/01/2014 0:00,344.998,17964
4/01/2014 0:00,345.145,32281
5/01/2014 0:00,345.207,31599
6/01/2014 0:00,345.259,18037
7/01/2014 0:00,345.295,18048
8/01/2014 0:00,345.354,18068
9/01/2014 0:00,345.398,18043
10/01/2014 0:00,345.432,18001
11/01/2014 0:00,345.465,17973
12/01/2014 0:00,345.522,18056
13/01/2014 0:00,345.583,18139
14/01/2014 0:00,345.604,18234
15/01/2014 0:00,345.629,18257
16/01/2014 0:00,345.665,15971
17/01/2014 0:00,345.664,13708
18/01/2014 0:00,345.689,34891
19/01/2014 0:00,345.711,25426
20/01/2014 0:00,345.718,18500
21/01/2014 0:00,345.735,18356
22/01/2014 0:00,345.763,18265
23/01/2014 0:00,345.782,36640
24/01/2014 0:00,345.77,55541
25/01/2014 0:00,345.762,61533
26/01/2014 0:00,345.774,57202
27/01/2014 0:00,345.818,23793
28/01/2014 0:00,345.83,60365
29/01/2014 0:00,345.833,59733
30/01/2014 0:00,345.821,59557
31/01/2014 0:00,345.809,59201
1/02/2014 0:00,345.803,47185
2/02/2014 0:00,345.8,46382
3/02/2014 0:00,345.785,134836
4/02/2014 0:00,345.731,156772
5/02/2014 0:00,345.646,154441
6/02/2014 0:00,345.582,142264
7/02/2014 0:00,345.507,186012
8/02/2014 0:00,345.426,158201
9/02/2014 0:00,345.361,134739
10/02/2014 0:00,345.289,193240
11/02/2014 0:00,345.201,194382
12/02/2014 0:00,345.105,191634
13/02/2014 0:00,345.009,188951
