Well Number,Description,Depth,Geology,Lithology
G40/0356,Brown Silty GRAVELS,21.5,,GRSI
G44/0251,WHITE MUDSTONE,18.5,,MS
G42/0784,Green Silty CLAY with Quartz GRIT and ORGANICS,26,,CLSISAOM
I44/1045,CLAY with GRAVEL layers,15.6,,GRCL
F41/0376,SCHIST Rock,14,,SCHIST
H42/0197,Blue SAND,20.6,,SA
F40/0221,Sandy GRAVELS and COBBLES,35.1,,CGRSA
G40/0395,SAND,33.4,,SA
G41/0318,CLAY,7.9,,CL
J41/0711,Grey running SAND,40,,SA
C-2020,W to mod carbonaceous MUDSTONE,71,,MS
F40/0173,SAND,10.5,,SA
I44/0967,CLAY,21.1,,CL
J42/0015,MUDSTONE and pug,9.1,,MS
I44/0062,CLAY,51.2,,CL
C-2013,MUD-CLAYSTONE,91.3,,CSMS
G41/0230,Sandy Greywacke GRAVELS and COBBLES,21.1,,CGRSA
G40/0367,VERY fine SAND with some Silt and Gravel,2,,GRSISA
F45/0101,"Brown CLAY, fine Quartz GRAVELS",8.7,,FGRCL
G43/0112,Sandy GRAVELS WET,12,,GRSA
I44/1061,CLAY,7.4,,CL
F40/0352,Brown SILTS into blue SILTS,66,,SI
G42/0721,SCHIST ROCK with QUARTZ,29.5,,SCHIST
G44/0224,SOIL,0.5,,SOIL
C-2011,Weak bedded MUDSTONE Silty MUDSTONE,185.8,,MS
G41/0373,COBBLE,19.4,,CGR
G45/0174,Topsoil,1,,SOIL
J41/0387,White-grey Silty fine SAND,50.1,,SISA
G43/0205,Silty Sandy GRAVELS,15.2,,GRSISA
J42/0072,"Sandy SILTS, volcanic rubble",172,,CGRSISA
G42/0798,CLAY,28,,CL
F40/0318,Fill,0.4,,FILL
G40/0280,TOPSOIL,0.4,,SOIL
F41/0332,Grey SCHIST,29,,SCHIST
G40/0148,Brown SILTS some Boulders,23.9,,BOSI
C-2046,W carbonaceous Silty MUDSTONE,52.8,,MS
G45/0237,"CLAY, brown, beige, firm, dry",1.2,,CL
I44/0847,GRAVEL (volcanics dominated),49.2,,GR
I44/0765,Yellow-brown Sandy GRAVELS,16.5,,GRSA
F40/0103,Silty GRAVELS,13.6,,GRSI
H43/0207,TOPSOIL,0.9,,SOIL
I44/0750,Yellow CLAY,15.8,,CL
I41/0048,Yellow CLAY GRAVELS - small/dry,19,,GRCL
I44/1051A,CLAY,2.6,,CL
J41/0251,Small white Quartz 3-6mm; hole staying open,149.5,,FGR
J41/0548,Dark grey MUDSTONE,38.4,,MS
F40/0357-7,Grey SILT,50,,SI
C-2030,Weak bedded Silty MUDSTONE and CLAY rich MUDSTONE,64.3,,MS
F41/0239,SAND some Gravels,22.1,,SAGR
J42/0179,GREYWACKE hard,20.4,,TERT
J41/0397,Topsoil,0.4,,SOIL
J41/0701,Silty coarse COBBLE,7,,CGRSI
G43/0222,SANDS fine GRAVELS,11.1,,FGRSA
C-2060,MUDSTONE,92,,MS
E41/0148,Looser Silty Claybound GRAVELS,24.3,,GRCLSI
G42/0106,Sandy GRAVELS,6,,GRSA
I44/0453,CLAY,29,,CL
G42/0795,Silty BROWN GRAVELS,7.4,,GRSI
F41/0352,SCHIST,33,,SCHIST
G40/0065,Yellow CLAY,11.8,,CL
G45/0214,Softer Zone,48,,NOLOG
F41/0173,Silty GRAVELS,7,,GRSI
G40/0229,"Large COBBLES, Sandy GRAVELS",21,,CGRSA
G41/0304,"BOULDERS, Sandy GRAVELS and COBBLES",26.6,,BOCGRSA
G42/0607,Silty grey Schist GRAVELS and Boulders,12.5,,CGRSI
I44/0091,Small GRAVELS,3.5,,FGR
F40/0259,Silty Sandy angular GRAVELS and COBBLES,35.7,,CGRSISA
G44/0123,ROCK,97,,TERT
I44/1013,Sandy CLAY,2.5,,CLSA
G41/0465,SOIL,0.2,,SOIL
G40/0056,Greywacke COBBLES,16.2,,CGR
H41/0139,Sandy Gravel with Round Stones,25.5,,GRSA
G41/0462,Medium GRAVELS,21,,GR
G41/0246,Sandy GRAVELS and COBBLES,11.7,,CGRSA
I44/0626,CLAY and layers of blue PUG,17.9,,CL
ECL 2013-8,MEDIUM Sandy medium GRAVEL GREY,5,,GRSA
ECL 2013-22,MEDIUM GRAVELLY medium to coarse SAND GREY,5,,CGRSA
G40/0200,Sandy GRAVELS,14.5,,GRSA
G41/0356,Sandy GRAVELS with QUARTZ,15,,GRSA
G40/0133,Sandy GRAVELS,28.55,,GRSA
G40/0172,Yellow CLAY,10.4,,CL
I44/1091,GREY CLAYS,3.7,,CL
I44/1058,Yellow CLAY,14.8,,CL
F41/0448,Silty coarse outwash GRAVELS,42.56,,CGRSI
J41/0518,SAND,15,,SA
I44/0760,GRAVEL,27.1,,GR
H43/0189,Blue SCHIST,6.6,,SCHIST
J41/0141,SOFT Sandy MUDSTONE,163.07,,MS
G42/0704,Damp Sandy CLAY,44.5,,CLSA
F40/0086,BOULDER then SILT,5.75,,BOSI
J41/0261,Papakaio Formation,48.5,Papakaio Formation,TERT
F41/0343,GREY BROWN Sandy GRAVELS,15,,GRSA
F41/0309,GRAVEL,2.3,,GR
G42/0663,Cream CLAY,29,,CL
C-2007,Bedded Silty MUDSTONE and SANDSTONE/muddy SANDSTONE,204.4,,MS
G41/0126,Sandy Cobbly GRAVEL,8.5,,CGRSA
I44/0007,ORGANIC MATTER,1.2,,OM
H42/0183,Silts,25,,SI
G40/0299,Cobbly Sandy GRAVELS,4.3,,CGRSA
G46/0137,ROCK,31.5,,TERT
I44/0061,CLAY,29,,CL
E41/0104,SILTS,21,,SI
I44/0790,"SAND and fine GRAVEL, water bearing",12.2,,FGRSA
I44/0744,Claybound GRAVEL,3.6,,GRCL
G42/0693,SILTS,0.8,,SI
J41/0207,TOPSOIL,0.3,,SOIL
I44/0980,"Marine SILTS, VEGETATION, SEASHELLS",10,,SISHOM
I44/0089,Blue CLAY,88.4,,CL
G42/0179,Yellow GRAVEL and STONES,2.6,,GR
I44/1078,Silty QUARTZ and SCHIST GRAVELS,16.4,,GRSI
I44/1100C,Silty coarse GRAVELS,15.1,,CGRSI
F40/0198,BOULDER,14.4,,BO
G44/0220,Blue GRAVELS with Clay layers,39.2,,GRCL
J43/0006,Brown CLAY,0.61,,CL
I44/0781,Bluey-brown GRAVEL,20.1,,GR
H41/0156,Claybound GRAVELS,5.1,,GRCL
I43/0064,GRAVEL,1.2,,GR
G40/0179,Light Silty Claybound Sandy GRAVELS,46.8,,GRSISA
I44/0995,Claybound GRAVEL,18.2,,GRCL
G44/0201,TOPSOIL,7.1,,SOIL
F40/0357-11,Grey Silty Sandy GRAVEL,5.9,,GRSISA
I44/0706,Claybound PEBBLES and SILT (water bearing),28.8,,FGRCLSI
H45/0289A,CLAY,19.3,,CL
I44/1054,Yellow GRAVELS,22.8,,GR
I44/0751,Sandy GRAVEL,23.5,,GRSA
I43/0043,TOPSOIL,0.7,,SOIL
F41/0410,CLAY,28.5,,CL
E41/0153,Silty GRAVELS,12.5,,GRSI
G42/0111,Grey and white GRAVEL and Coarse SAND,2.9,,GRCSA
G45/0107,CLAY,6,,CL
I44/0802,Sandy fine GRAVEL,2.45,,FGRSA
J41/0296,Blue hard ROCK,8.3,,TERT
G45/0244,Silty yellowy CLAY,2.1,,CLSI
J41/0462,"GREY and BROWN GRAVELS, small to medium ODD FLOATER and SAND",13,,GRSA
G44/0175,Pug,28,,CL
F41/0295,Silty GRAVELS good water flow,22.3,,GRSI
I44/1001,Yellow Sandy CLAY,18.7,,CLSA
F40/0276,Silts,63.1,,SI
C-2019,Grey green MUDSTONE abundant nodules iron sulphides,44.2,,MS
J41/0723,Grey MUDSTONE,7.6,,MS
I44/0508,CLAY,23,,CL
G42/0768,CLAY,46.9,,CL
I44/1118,SAND medium GREY,4.9,,SA
E40/0101,Yellow loose Sandy GRAVEL,12.7,,GRSA
H42/0215,SANDS,34,,SA
I44/1069,CLAY,11.9,,CL
G40/0406,Silty coarse GRAVELS,13.6,,GRSI
G41/0343,Silty Sandy GRAVELS,13.7,,GRSISA
J41/0583,Pea GRAVELS small amount of SILT,16,,GRSISA
I44/0936,Yellow CLAY and GRAVEL,2,,GRCL
I44/0970,GRAVELS,21,,GR
ECL 2013-15,Very Soft CLAY light brown,23,,CL
I44/0081,CLAY,14,,CL
J41/0367,Silty Claybound quartz GRAVELS,15.4,,GRCLSI
J41/0506,TOTARA LIMESTONE,38.5,,LIME
G40/0013,SILTS some Gravels,20.5,,GRSISA
J41/0383,"Quartz GRAVELS, traces of white Silty Clay - tested flowing on connection",177,,GRCLTR
F41/0482,Sandy Gravel with SILT,5.8,,GRSISA
G41/0393,Cobbly Silty GRAVELS,6.5,,GRSI
G42/0102,Sandy GRAVELS and traces of Clay,23.3,,GRSACLTR
G40/0210,SAND,3.5,,SA
H45/0305,Grey CLAY,15,,CL
G42/0556,CLAY,1,,CL
I42/0090,Hard SCHIST; more water flow,116,,SCHIST
F40/0238,SAND and Silt layers,10,,SISA
F41/0130,BOULDER,25.5,,BO
G45/0154,CLAY,3.8,,CL
E41/0163,DRY Silty GRAVELS,38,,GRSI
J41/0556,Grey Green Rock,102,,TERT
F41/0096,Silty grey schist GRAVEL,18.2,,GRSI
F41/0444,GREY Silty GRAVELS ODD BOULDER,14.7,,CGRSI
F41/0476,Yellow CLAY SILT,13.5,,CLSI
C-2044,Moderately carbonaceous MUDSTONE,48,,MS
J41/0777,"TOPSOIL: Silty SAND, brown",0.4,,SOIL
F40/0385A,Silty fine SAND some Gravel,13.75,,GRSISA
F40/0301,Clean coarse GRAVEL,2.5,,CGR
I44/1038,CLAY,26.5,,CL
H42/0188,Brown grey CLAY,63.4,,CL
G40/0413,MEDIUM GRAVELS LIGHTLY BOUND,15,,GR
C-2033,Weak to mod carbonaceous CLAY-MUDSTONE,298,,MS
C-2046,Blue grey Silty MUDSTONE,96.6,,MS
G40/0265,SOIL,0.7,,SOIL
J42/0162,Green MUDSTONE with black flecks,48,,MS
F41/0381,TOPSOIL,0.3,,SOIL
G45/0216,"CLAY, Sandy GRAVELS",30.3,,GRCLSA
C-2009,Weak to moderate carbonaceous MUDSTONE to CLAYSTONE,213.5,,CSMS
G41/0198,Sandy Silty GRAVELS and Boulders,5.4,,CGRSISA
G42/0216,White/Brown CLAY,5.4,,CL
I44/0104,Sandy GRAVELS,18.8,,GRSA
I44/0884,Blue SILTS,36.8,,SI
G40/0300,Sandy coarse to Cobbly Schist GRAVELS,3.1,,CGRSA
F40/0205,Sandy small GRAVELS,42.6,,FGRSA
I44/0964,Brown GRAVELS,20.1,,GR
F40/0378,Coarse Sandy GRAVELS,83.75,,CGRSA
J41/0287,Coarse Cobbly GRAVELS,7,,CGR
F40/0128,Sandy GRAVELS,15.6,,GRSA
G42/0626,Sandy GRAVELS with some Silt,24.5,,GRSISA
G42/0257,Blue PUG,12.2,,CL
H45/0340,GRAVELS Claybound,19.1,,GRCL
G40/0042,SAND,18.5,,SA
J41/0394,Brown weathered BASALT ROCK,17.4,,VOLC
I44/0897,Sandy GRAVELS,23.1,,GRSA
I44/0581,GRAVELS,24.7,,GR
I41/0042,Dark grey SANDSTONE,4.1,,SS
C-2019,Predominantly dark brown SAND MUDSTONE some minor green Mudstone,283.9,,MS
H45/0289A,Yellow Sandy GRAVEL,14.8,,GRSA
I44/0736,Grey SCHIST rock,15.2,,SCHIST
G44/0239,Brown/white CLAY,12.2,,CL
C-2033,Muddy SANDS poss with quartzose GRAVELS,307,,GRSA
G41/0211,TOPSOIL,0.4,,SOIL
J41/0753,GREY SILTSTONE with VEINS OF WHITE,110,,SS
I44/0798,GRAVELS,31,,GR
G45/0199,ROCK,240,,TERT
I44/1003,"Silty CLAY, grey, some Organics present",49,,CLSIOM
G40/0325,LARGE Claybound GRAVELS with BOULDERS,10.1,,CGRCL
H45/0325,Claybound GRAVELS,21.6,,GRCL
H44/0011,Yellow CLAY/silt bound quartz/schist GRAVEL,19.3,,GRCLSI
H45/0311,Dry Heavy Claybound GRAVELS,16,,GRCL
I44/0684,Sandy GRAVELS,11,,GRSA
I44/0744,Loose GRAVEL,10,,GR
G40/0200,SOIL,0.3,,SOIL
G41/0278,TOPSOIL,0.3,,SOIL
J41/0728,Mud stone grey/green,12,,MS
I44/1054,GRAVELS,26.7,,GR
J41/0598,Brown SANDSTONE,42,,SS
G42/0811,Blue SILT,3.4,,SI
F41/0155,TOPSOIL,0.3,,SOIL
G43/0191,Quartz Sandy GRAVELS ,9.5,,GRSA
F42/0103,Sandy COBBLES and BOULDERS,2.7,,BOCGRSA
I44/0760,Brown CLAY,31.7,,CL
F40/0217,SAND,16,,SA
G43/0103,Sandy GRAVEL,21.4,,GRSA
I44/1058,GRAVELS,16.8,,GR
J41/0254,Harder green ROCK,18,Deborah Volcanics,VOLC
J41/0707,Silty coarse COBBLES,8,,CGRSI
G41/0263,Small very Sandy GRAVELS,34.5,,FGRSA
G41/0315,Very Sandy GRAVELS,15.5,,GRSA
J42/0034,SANDSTONE SILTS,16.95,,SSSI
J41/0141,HARD BASALT ROCK,129.84,,VOLC
I44/0856,COBBLES and BOULDERS,12,,BOCGR
G42/0765,"Sandy GRAVEL, Sand is well graded and coarse to fine (outwash Gravel); interbedded with some minor layers containing nonplastic Silt",13,,GRSISA
G42/0781,Yellow CLAY,1.4,,CL
I44/0790,SAND and GRAVEL,6.4,,FGRSA
I44/1042,Volcanic CLAY,8.2,,CL
F41/0337,Silty coarse GRAVELS,9.2,,GRSI
F40/0175,Small Silty Sandy GRAVELS,35.2,,FGRSISA
G42/0858,Yellow CLAY,28.2,,CL
F41/0298,Silts,23.4,,SI
H45/0305,White GRAVEL,10.6,,GR
G42/0716,Brown Silty SAND,20.1,,SISA
C-2011,Blue grey Silty MUDSTONE,18,,MS
I42/0082,grey SCHIST rock - soft,80,,SCHIST
J41/0535,THROUGH CLAY to LIMESTONE,9.14,,LIME
I44/1032,Brown CLAY,10.1,,CL
G41/0237,SAND some Gravels,21.2,,SAGR
J41/0771,"TOPSOIL: Silty SAND, brown",0.4,,SOIL
F41/0096,Coarse GRAVELS,21.2,,CGR
G40/0259,"Brown Silty CLAY, very wet at top 2 to 3 metres",83.2,,CLSI
G43/0221,CLAY,21.7,,CL
G42/0671,Sandy grey Quartz GRAVELS,9.7,,GRSA
H42/0190,TOPSOIL,0.3,,SOIL
C-2046,W carbonaceous MUDSTONE,92.5,,MS
F40/0112,SCHIST Rock,3.1,,SCHIST
I44/0749,Red-brown Sandy Silty quartzose GRAVEL,6.8,,GRSISA
I44/0921,"Silty CLAY, grey, soft, moderately plastic",28,,CLSI
G41/0489,Silty coarse GRAVELS,23.1,,GRSI
G42/0789,Green-Brown Weathered altered SCHIST,7,,SCHIST
G45/0232,Weathered ROCK,20,,TERT
H43/0198,CLAY,27,,CL
E41/0153,Sandy GRAVELS,5,,GRSA
G42/0111,Grey and white GRAVEL and coarse SAND; wet below ~5m,7.9,,GRCSA
F42/0147,Silty LENSES IN GRAVELS,30,,GRSI
G40/0390,GRAVELS with BOULDERS,49.4,,BOGR
G40/0234,Samll Sandy GRAVELS,9.5,,GRSA
J42/0092,Grey green MUDSTONE,143.5,,MS
G42/0774,SOFT and hard ZONES SCHIST DRY,22,,SCHIST
J41/0210,SAND and little GRAVEL,34.14,,GRSA
I44/1000,Coarse to large GRAVELS,19.8,,CGR
G40/0136,Very Sandy GRAVELS,9,,GRSA
G41/0325,Very Weathered Rock,0.8,,TERT
F40/0186,FLAT Sandy GRAVELS,14.7,,GRSA
J43/0111,Brown Loess Topsoil,1,,SOIL
C-2006,Light greenish grey MUD/CLAYSTONE,29.7,,CSMS
F41/0446,Silt,10.5,,SI
J41/0748,LIMESTONE WHITE,81,,LIME
C-2014,MUDSTONE,221.3,,MS
ECL 2013-5,MEDIUM Sandy medium GRAVEL BROWN ,18,,GRSA
J41/0714,"TUFF, bluish-grey, fissured/fractured with manganese stained fracture planes; noticeable increase in groundwater yield",31,Waiareka Volcanics (Lorne Pyroclastics),VOLC
G40/0210,Topsoil,0.3,,SOIL
G42/0613-1,"Medium orangey brown, moderately weathered, well graded, subrounded, Gravelly, granular very coarse SAND with minor Clay; Gravels mostly <1cm up to few cm; estimate 55% SAND, 25% Gravels <1cm; 15% Gravels >1cm, 5% Silt and Clay",35.9,,SAGRCL
F40/0250,SCHIST Rock,68.6,,SCHIST
I44/1006,"CLAY, yellow, firm, slightly plastic",50.1,,CE
F40/0276,Loose Sandy GRAVELS and COBBLES,82.7,,CGRSA
G41/0111,Brown TOPSOIL,0.2,,SOIL
G41/0374,SAND,4.8,,SA
I44/0089,Blue CLAY,46.6,,CL
I44/0778,Yellow CLAY,38.1,,CL
F41/0356,TOPSOIL,0.4,,SOIL
G40/0062,Grey Claybound schist GRAVEL,21,,GRCL
G45/0179,Small Flow,36,,NOLOG
J41/0378,White LIMESTONE,33.4,,LIME
G42/0853,Oxidised SCHIST with low flow of water,9,,SCHIST
G41/0351,Sandy brown GRAVELS,1.7,,GRSA
G40/0129,Light Claybound GRAVELS,16,,GRCL
J41/0567,Yellow CLAY,4.9,,CL
F40/0336,Silts,63.5,,SI
F40/0344-3,Tight Silty GRAVELS,16,,GRSI
G41/0430,"BOULDERS, coarse GRAVELS",2.3,,BOCGR
G40/0161,Yellow Sandy GRAVEL,31.9,,GRSA
E41/0109,Dry Claybound GRAVELS,14,,GRCL
I44/0774,Sandy gravel with yellow CLAY lenses,17.05,,GRCLSA
F41/0494,SCHIST GRAVELS and QUARTZ GRAVELS SANDY,30.2,,GRSA
H41/0174,Brown GRAVELS,1.4,,GR
G42/0744,Brown GRAVELS,4.4,,GR
I44/1079,GRAVELS QUARTZ ANGLES,26.5,,GR
G42/0125,Blue PUG,9.6,,CL
J41/0399,Light brown SANDSTONE,113.8,,SS
I44/0993,Grey CLAY,17,,CL
F41/0470,TOPSOIL,0.3,,SOIL
F41/0347,Grey Silty SAND,20.2,,SISA
J41/0742,Light brown Silty CLAY,0.7,,CLSI
F40/0298,Silty schist GRAVEL,6.4,,GRSI
J41/0515,Fine CLAY SILT,5.8,,CLSI
G44/0108,Sandy CLAY,3.5,,CLSA
F40/0247,Coarse Cobbly GRAVELS,10.3,,CGR
I44/1013,Claybound GRIT,10.3,,CLCSA
C-2013,Firm SANDS GRAVELS - possible cemented,114.5,,GRSA
J41/0208,ORANGE WEATHERED BASALT,6,,VOLC
I44/0987,Brown river GRAVELS,7.5,,GR
I44/0957,Yellow CLAY and GRAVEL,9,,GRCL
G45/0160,Black ROCK,39,,TERT
I44/0089,Brown CLAY with Quartz GRAVEL,127.1,,GRCL
I41/0046,"Brown CLAY, Quartz GRAVELS, Coal stuff - water at 96.5m, top 100.5m",104.5,,GRCL
J41/0392,Grey SILTSTONE,17.1,,SS
G42/0203,Claybound GRAVELS,5.5,,GRCL
G42/0007,SANDS,23.5,,SA
I43/0054,SAND,4,,SA
G42/0794,Silty Claybound GRAVEL,12,,GRCLSI
J41/0498,EARTH,0.1,,SOIL
G40/0306,Sandy GRAVEL,57.52,,GRSA
I44/0062,GRAVEL,43.3,,GR
I44/0163,Weather schist rock,6,,SCHIST
I44/0815,Claybound Sandy GRAVEL,23.3,,GRCLSA
G42/0685,Topsoil,0.1,,SOIL
I40/0001,BASALT; SWL 3.0m,87.8,,VOLC
F41/0324,SOIL,0.3,,SOIL
G44/0212,Claybound GRAVELS (small amount of water),32,,GRCL
G40/0185,Tight Silty Sandy GRAVELS,31.8,,CEGRSISA
ECL 2013-12,Medium Sandy medium GRAVEL Brown,20,,GRSA
F40/0357-8,Grey SILT,32.5,,SI
G40/0214,SAND some thin layers of flat Gravels,25.2,,GRSA
J41/0548,MUDSTONE and Rock Layers,74.5,,MS
I44/1076,GRAVELS QUARTS SCHIST SANDY,18.7,,GRSA
F40/0090,Fine GRAVELS and coarse SAND,5.5,,FGRSA
F40/0308,Sandy GRAVELS,19.2,,GRSA
C-2049,Muddy SANDS and GRAVEL,152.6,,GRSA
F41/0101,Brown Silty GRAVELS,3.4,,GRSI
H45/0339,SANDS SILTS SEA SHELLS,15.8,,SASH
G44/0179,Schist PEBBLES and trace Clay,33,,FGRCLTR
G42/0865,GRAVELS small LOESS,1.3,,FGR
C-2017,Silty MUDSTONE,99.5,,MS
C-2031,CLAY MUDSTONE,30.3,,MS
F41/0463,TOPSOIL,0.5,,SOIL
G41/0290,Coarse Sandy GRAVELS,26.3,,CGRSA
H46/0101,Green CLAY,18.1,,CL
I44/1067,Brown Silty SAND,5,,SISA
I44/1000,Yellow CLAY,6.5,,CL
I44/0498,Grey SILT,5.2,,SI
G40/0292,LARGE GRAVELS and BOULDERS,8,,BOGR
G45/0243,White CLAY,13.8,,CL
G40/0354,Large GRAVELS with BOULDERS,21.1,,BOGR
F41/0378,Silty,38.3,,SI
G41/0161,Claybound SAND,28.3,,CLSA
J42/0170,Yellow CLAY,5.5,,CL
F40/0179,Very Silty Sandy GRAVELS,31.9,,GRSISA
I44/0975,Yellow CLAY,15,,CL
G44/0234,White CLAY,23.7,,CL
F40/0380,SILTS,4.7,,SI
G42/0602,Sandy grey GRAVEL,32.8,,GRSA
H42/0187,Yellow CLAY,0.9,,CL
I44/0771,Brown CLAY,2.15,,CL
G40/0057,TOPSOIL,0.2,,SOIL
H41/0140,Brown GRAVELS,4.5,,GR
F41/0493,Sandy GRAVEL,8.9,,GRSA
E41/0001,Sandy SILT; Sand fine grained; soft; wet,11,,SISA
I44/0782,Fine Sandy GRAVEL,34.2,,FGRSA
F40/0358,SILTS SANDS,36,,SISA
F41/0204,Silts,20.8,,SI
J41/0075,Papakaio Formation,27,Papakaio Formation,TERT
J41/0776,MUDSTONE,4.5,,MS
F40/0261,Very Silty GRAVELS,70.1,,GRSI
G42/0721,SCHIST with WATER,39,,SCHIST
J42/0179,Softer Zone,29.5,,NOLOG
G40/0195,Sandy GRAVELS,10.5,,GRSA
F41/0332,Brown grey Sandy GRAVELS,26,,GRSA
F41/0425,GREY Silty SANDS small to medium grey GRAVELS,36,,GRSISA
F40/0357-1,Grey SILT ,14.5,,SI
F41/0137,Fine Sandy GRAVELS,22.8,,FGRSA
J41/0552,Grey SILTSTONE chips and traces of Quartz and Lignite,248,,MS
F40/0234,Sandy GRAVELS mainly small,78.6,,FGRSA
G41/0362,Silty SAND,3.4,,SISA
C-2011,MUD/CLAYSTONE - weak bedded to MUDSTONE down unit,199,,CSMS
F40/0096,Small Sandy GRAVELS,13,,FGRSA
G42/0229,Sandy GRAVELS,7.2,,GRSA
J41/0387,Brown-grey Silty fine SAND,27.4,,SIFSA
I44/1102,BASALT ROCK,62,,VOLC
C-2009,Sandy MUDSTONE,21.5,,MS
F41/0264,Yellow Very Silty GRAVELS,7.1,,GRSI
J41/0152,"Good LIMESTONE, Full Rod Cored",5.5,,LIME
G40/0245,Silty Sandy broken angular GRAVELS,71.2,,GRSISA
J42/0137,Topsoil,0.2,,SOIL
G42/0700,Silty Claybound GRAVELS,6.8,,GRCL
F40/0019,Silty GRAVEL hard bands,16.3,,GRSI
G41/0218,TOPSOIL,0.8,,SOIL
G45/0260,Dry GRAVELS,8,,GR
J42/0178,GREY BROWN CLAY,7.6,,CL
G46/0140,GREY ROCK 20 litres per minute,34,,TERT
I44/0776,GRAVEL,39.6,,GR
I44/0791,GRAVEL (water bearing),10.4,,GR
H45/0314,Claybound GRAVELS,10.4,,GRCL
I44/0627,Grey mud,26.9,,CL
G41/0273,Sandy GRAVELS,11.8,,GRSA
ECL 2013-22,MEDIUM GRAVELLY SAND BROWN,16,,GRSA
G40/0053,Damp CLAY,43.2,,CL
F41/1350,Coarse Sandy GRAVEL,27.5,,CGRSA
G43/0143,Quartz Sandy GRAVELS,17.5,,GRSA
G41/0211,Grey SAND,16.2,,SA
G41/0351,"Sandy GRAVELS, COBBLES",25.1,,CGRSA
F40/0289,Sandy GRAVELS,8.8,,GRSA
G40/0310,SANDY,21.6,,SA
G42/0750,CLAY,12,,CL
I44/1078,GRAVELS QUARTZ SCHIST Silty,3.7,,GRSI
F41/0164,Very Silty Flat GRAVELS,5.5,,GRSI
F41/0244,FINE ANGULAR SCHIST,14.2,,SCHIST
G40/0202,Yellow Silty CLAY,17.7,,CLSI
G44/0129,Small Clean GRAVELS,7.3,,FGR
H44/0031,Brown CLAY GRAVELS,21,,CLGR
C-2020,Blue green MUDSTONE,35.6,,MS
E41/0105,Sandy SILT,51,,SISA
G41/0278,Very Silty Broken Schist GRAVELS,17.7,,GRSI
G41/0394,Coarse Sandy GRAVELS,20.4,,CGRSA
G40/0365,Mainly small Sandy GRAVELS,64.5,,FGRSA
G42/0784,Brown Silty CLAY with PEBBLES,4.8,,FGRCLSI
H46/0152,MUDSTONE,10,,MS
I44/0726,GRAVELS,30.8,,GR
G41/0133,Sandy GRAVELS,16.5,,GRSA
I44/0856,COBBLES and BOULDERS,6,,BOCGR
H42/0192,GRIT,83.5,,CSA
I44/0762,Silty CLAY,34.1,,CLSI
G42/0698,Very Sandy GRAVELS,24,,GRSA
I44/0997,Claybound GRAVELS,20.7,,GRCL
G41/0417,Silty TOPSOIL,1,,SOIL
G40/0412,Silty Sandy GRAVELS,37,,GRSISA
I44/1042,Dark brown MUDSTONE,28.8,,MS
I41/0044,SPRINGSIDE FORMATION,86.3,SPRINGSIDE FORMATION,NOLOG
J42/0150,MOSTLY LIMESTONE-GREEN Sandy FORMATION,36.58,,LIME
C-2007,Dark green grey medium to fine texture micaceous quartzofeldspathic SCHIST,270,,SCHIST
G40/0146,Claybound GRAVELS,1.8,,GRCL
G45/0105,Small Quartz PEBBLES,20,,FGR
J41/0571,Brown weathered GRAVELS; water,23.5,,GR
G40/0397 ,SAND,4.1,,SA
J41/0207,Rice like Quartz SANDS,84.4,,FSA
HWEOW40,BACKFILL Sandy SILT GRAVELS,11.5,,FILL
F41/0369,Silty Sandy GRAVEL,4,,GRSISA
C-2034,MUD/CLAYSTONE,152.8,,CSMS
G41/0334,Very Silty Sandy GRAVEL,20.1,,GRSISA
G42/0240,Very Loose Sandy GRAVEL,9.3,,GRSA
I44/0751,White-yellow SAND,14.7,,SA
I44/0900,Light CLAY GRAVELS,23.8,,GRCL
I44/1092,Clay GRAVELS,18.2,,GRCL
G43/0080,Sandy GRAVELS,5.3,,GRSA
J41/0755,LIGHT BROWN CLAY,9,,CL
C-2076,Carbonaceous MUDSTONE with rare Muddy LIGNITE layers,87,Manuherikia Group,LIMS
F41/0099,Yellow CLAY,3,,CL
C-2044,W carbonaceous MUDSTONE,74.3,,MS
F40/0322,Silty Sandy GRAVELS,20.8,,GRSISA
G42/0827,Yellow Silty GRAVEL,18,,GRSI
G42/0775,Very Sandy GRAVELS,6.4,,GRSA
J41/0593,Grey SILTSTONE,34.2,,SS
J41/0769,MUDSTONE,6,,MS
F41/0183,Grey PUG,20.5,,CL
G42/0822,"SILTS, TOPSOIL",0.6,,SOIL
J41/0721,"Minimal Topsoil, more GRAVEL SAND, not much moisture",0.5,,GRSA
G41/0308,Very Silty Sandy GRAVELS,19.6,,GRSISA
C-2019,"Green and brown carbonaceous MUDSTONE, Quartz GRIT and Shell fragments",113.2,,MSCSA
I44/0515,Dark brown Sandy GRAVELS,29.7,,CGRSA
H45/0326,GREYWACKE ROCK SOFT,15,,TERT
J41/0388,Brown CLAY,0.6,,CL
G40/0252,Yellow CLAY,72.4,,CL
G40/0281,"Large COBBLES, Silty GRAVELS",10.8,,CGRSI
G42/0804,Coarse Sandy oxidised GRAVELS,52.1,,CGRSA
G41/0474,QUITE Sandy GRAVELS,23.2,,GRSA
F41/0270,SCHIST,12.3,,SCHIST
G40/0352,"Coarse Sandy GRAVELS, odd Cobble",14.2,,CGRSA
C-2033,MUDSTONE to Silty MUDSTONE with local thin weak carbonaceous beds,184.2,,MS
I44/1033,CLAY,28.7,,CL
